sigla progetto,nome del' attore,tipo di relazione
Casa in via Pancaldo,Ing. Ernesto Saliva: progetto e calcolo opere in cemento armato Ing. Italo Bertolini: collaudo opere in cemento armato Invita il pittore-scultore Lucio Fontana: bassorilievo in terracotta colorata,COL
Progetto Grattacielo in via Modrone,Stefano Bonfiglio,COM
Progetto Grattacielo in via Modrone,"Arch. Gino Brunelli, Ing. Ernesto Saliva",COP
Casa in via Pisani,S.A.L.C.A. (Società Anonima Lombarda Costruzione Appartamenti),COM
Casa Mariani (ristrutturazione - piccole opere),Dott. Giulio Mariani,COM
"Casette prefabbricate e arredamento (smontate al termine della Triennale, una rimontata a Casorate per Gianni Mattioli e demolita alla fine degli anni ottanta)","X Triennale di Milano - Presidente On. Ivan Matteo Lombardo - La Giunta Esecutiva: Arc.tti Carlo De Carli e Marco Zanuso, Pittori Mario Radice e Attilio Rossi, Scultore Lucio Fontana - Coordinatore per le partecipazioni estere Arch. Luciano Baldessari",COM
"Casette prefabbricate e arredamento (smontate al termine della Triennale, una rimontata a Casorate per Gianni Mattioli e demolita alla fine degli anni ottanta)",Ing. Marcello Grisotti,COP
Grattacielo Hansaviertel (ricostruzione Quartiere Anseatico),Interbau Berlino - Senator a.D. Dott. Karl Mahler,COM
Grattacielo Hansaviertel (ricostruzione Quartiere Anseatico),"Arch. Mariapia Matteotti, Ing. Ernesto Saliva Arch. Gerhàrd Klose: Direttore Lavori",COL
Progetto casa Trutmann,Marta Trutmann,COM
Case Ina a Brescia,Istituto Autonomo Case Popolari della Provincia di Brescia Direttore Arch. Angelo Boccanera,COM
Case Ina a Brescia,Arch.tti Belisario Duca e Maripia Matteotti Ing. Ernesto Saliva e Vittorio di Tocco (capogruppo Luciano Baldessari),COP
Casa Ina a Porto Ceresio,Istituto Autonomo Case Popolari della Provincia di Varese  Presidente Ing. Camillo Lucchina,COM
Casa Ina a Porto Ceresio,"Arch.tti Belisario Duca, Maria Pia Matteotti Ingg. Ernesto Saliva e Vittorio di Tocco (capogruppo Arch. Luciano Baldessari)",COP
Casa Ina a Sale,Istituto Autonomo Case Popolari della Provincia di Alessandria Presidente Ing. Pietro Mazzoleni,COM
Casa Ina a Sale,Arch.tti Belisario Duca e Maria Pia Matteotti Ingg. Ernesto Saliva e Vittorio di Tocco (capogruppo Arch. Luciano Baldessari),COP
Case Ina a Pavia,Istituto Autonomo Case Popolari della Provincia di Pavia - Presidente A. Piccoli,COM
Case Ina a Pavia,Arch.tti Belisario Duca e Mariapia Matteotti Ingg. Ernesto Saliva e Vittorio di Tocco (capogruppo Arch. Luciano Baldessari),COP
Lazzaretto Mariani (ristrutturazione),Dott. Luigi Mariani,COM
Lazzaretto Mariani (ristrutturazione),Ing. Cesare Pozzoli: Direttore Lavori,COL
"""Casin di Strii"" - Casa delle streghe (ristrutturazione)",Dott. Luigi Mariani,COM
"Condominio ""Milano""",Impresa Geom. Italo Tobia,COM
"Condominio ""Milano""",Arch. Maria Pia Matteotti e Geom. Giulio Baldessari (fonte Elenco coll. L.B.) Invita il pittore-scultore Lucio Fontana: tagli luminosi a soffitto,COL
"Condominio ""Venezia""",Impresa Geom. Italo Tobia,COM
"Condominio ""Venezia""",Arch. Maria Pia Matteotti e Geom. Giulio Baldessari (fonte Elenco coll. L.B.),COL
"Condominio ""Venezia""",Impresa Geom. Italo Tobia Ing. Sisto Campostrini: Direttore dei Lavori,COS
Casa a Vigevano,Società Immobiliare Valletta Fogliano (di Panza Iole & C.),COM
Casa a Vigevano,Arch. Belisario Duca: calcolo cementi armati e Direttore Lavori,COL
Casa a Vigevano,Arch. Carlo Bartoli,COP
Casa Jannitto,Francesco Jannitto,COM
Casa Jannitto,Arch. Zita Mosca (fonte Z.M.B.),COP
Progetto Casa in via Roma (ristrutturazione),Comm. Giovanni Nones,COM
Progetto Casa in via Roma (ristrutturazione),Arch. Zita Mosca (fonte Z.M.B.),COP
Progetto Villa alla Giudecca,John W. Harris,COM
Progetto Villa a Madonna di Campiglio,Ing. Solesin (fonte Bibliografia),COM
Progetto Villa a Salò,Ing. G. Solesin (fonte Bibliografia),COM
Villa Maria Pia Casa di Cura per malattie nervose,Dott. Giovanni Martinotti,COM
Villa Maria Pia Casa di Cura per malattie nervose,1950/52; 1959 - Ing. Marcello Grisotti,COL
Villa Maria Pia Casa di Cura per malattie nervose,1969 - Arch. Zita Mosca,COP
Progetto Villa Meyerhofer,Meyerhofer,COM
Progetto Villa Pozzali,Ing. Franco Pozzali,COM
Progetto Villa Masini,Dott. Giuseppe Masini (fonte Z.M.B.),COM
"Complesso di Villa Letizia Casa di Riposo per divenuti ciechi (ristrutturazione villa, nuovo edificio e Cappella Santa Lucia, e arredamenti)",Prof.ssa Angiola Maria Migliavacca,COM
"Complesso di Villa Letizia Casa di Riposo per divenuti ciechi (ristrutturazione villa, nuovo edificio e Cappella Santa Lucia, e arredamenti)","1962/64 - Arch.tti Pasquale Bruno e Roberto Innocenti 1962/64 - Arch. Carlo Bartoli: arredamento 1962/64 - Arch. Belisario Duca: computo metrico-estimativo, calcolo c.a. 1964/66 - Ing. Giovanni Vespignani: calcolo c.a. 1968 - Arch. Zita Mosca: progetto ascensore, monografia Una Casa e una chiesa (fonte Z.M.B.)",COL
Progetto Villa Metzger,Dott. Benno Metzger,COM
Progetto Villa Metzger,Ing. Ernesto Saliva 1968/69 - Arch. Zita Mosca,COP
Villa Archidea e arredamento,Dott. Silvio Leoni,COM
Villa Archidea e arredamento,Ing. Giovanni Vespignani: computo metrico-esrtimativo e calcolo c.a. Ing. Ernesto Staub (impresa Losinger e Co. s.a.): Direttore Lavori,COL
Villa Archidea e arredamento,Arch. Zita Mosca (fonte Z.M.B.),COP
Progetto Villa Vedù Casa albergo per dirigenti pensionati (ristrutturazione),Dott. Mario Biasi,COM
